trial_id,condition,sir_db,sir_band,same_gender,target_live,interferer_live,sisdr_yt_st,sisdr_yt_si,sisdr_yi_st,sisdr_yi_si,sel_t,sel_i,rel_movement,level_yt_db,level_yi_db
sir0_val-42-000000,interferer_only,nan,>= +5,0.0,False,True,nan,17.073699951171875,nan,17.198963165283203,nan,0.12526321411132812,0.0033191251568496227,-2.7947468757629395,-2.7303686141967773
sir0_val-42-000001,target_only,nan,>= +5,nan,True,False,10.789043426513672,nan,-10.892487525939941,nan,21.681529998779297,nan,0.9538552761077881,-5.243680477142334,-27.745798110961914
sir0_val-42-000002,both,-1.17,-5..0,0.0,True,True,-2.0598304271698,-2.3478891849517822,-9.61592960357666,2.3606619834899902,7.556098937988281,4.708551406860352,0.6768150329589844,-6.92172908782959,-6.561364650726318
sir0_val-42-000003,interferer_only,nan,>= +5,1.0,False,True,nan,-2.156741142272949,nan,2.029245376586914,nan,4.185986518859863,5.867290496826172,-18.30976676940918,-8.597186088562012
sir0_val-42-000004,both,1.36,0..+5,0.0,True,True,-4.447310924530029,1.9275174140930176,-4.571660041809082,4.079921722412109,0.12434911727905273,2.152404308319092,0.1255141943693161,-3.3555400371551514,-2.662477970123291
sir0_val-42-000005,both,-9.17,< -5,0.0,True,True,-11.085365295410156,-4.886643409729004,-11.945613861083984,10.655998229980469,0.8602485656738281,15.542641639709473,19.684843063354492,-16.57375717163086,-2.817869186401367
sir0_val-42-000006,interferer_only,nan,>= +5,1.0,False,True,nan,13.452354431152344,nan,13.601543426513672,nan,0.14918899536132812,0.010331430472433567,-2.8349623680114746,-2.4304065704345703
sir0_val-42-000007,target_only,nan,>= +5,nan,True,False,18.56865882873535,nan,17.87674903869629,nan,0.6919097900390625,nan,0.003754513571038842,-2.5449466705322266,-2.853576183319092
sir0_val-42-000008,both,-9.09,< -5,1.0,True,True,6.773437976837158,-7.758383750915527,5.524432182312012,-6.67924690246582,1.2490057945251465,1.079136848449707,0.021798737347126007,-3.1357016563415527,-3.1155238151550293
sir0_val-42-000009,interferer_only,nan,>= +5,0.0,False,False,nan,nan,nan,nan,nan,nan,0.17966951429843903,-26.247339248657227,-27.306427001953125
sir0_val-42-000010,both,-7.16,< -5,0.0,True,True,-0.10329752415418625,-7.399158954620361,-12.293724060058594,8.609770774841309,12.19042682647705,16.008930206298828,1.6974092721939087,-7.016472339630127,-3.6314666271209717
sir0_val-42-000011,both,-7.84,< -5,0.0,True,False,-31.4407901763916,nan,-24.632396697998047,nan,-6.808393478393555,nan,0.186773881316185,-31.74481201171875,-31.505325317382812
sir0_val-42-000012,both,-3.68,-5..0,0.0,True,True,-44.49699020385742,7.72734260559082,-42.33368682861328,21.82809829711914,-2.1633033752441406,14.10075569152832,0.6219244599342346,-6.831198215484619,-2.59639310836792
sir0_val-42-000013,interferer_only,nan,>= +5,0.0,False,True,nan,0.683998703956604,nan,16.71076011657715,nan,16.026762008666992,2.402340888977051,-9.757859230041504,-3.1433801651000977
sir0_val-42-000014,both,3.65,0..+5,0.0,True,True,10.451921463012695,-14.795686721801758,-9.981929779052734,-6.884200096130371,20.43385124206543,7.911486625671387,0.9614254236221313,-3.1904478073120117,-27.96216583251953
sir0_val-42-000015,both,-2.22,-5..0,1.0,True,True,-7.75944709777832,3.6281535625457764,-11.569536209106445,10.679856300354004,3.810089111328125,7.051702499389648,0.2821314036846161,-4.454811096191406,-2.7741546630859375
sir0_val-42-000016,target_only,nan,>= +5,nan,True,False,13.341842651367188,nan,-1.3280143737792969,nan,14.669857025146484,nan,0.7663373947143555,-2.909818172454834,-16.383832931518555
sir0_val-42-000017,target_only,nan,>= +5,nan,True,False,17.774967193603516,nan,17.19173240661621,nan,0.5832347869873047,nan,0.004276688676327467,-2.7020063400268555,-2.9948954582214355
sir0_val-42-000018,interferer_only,nan,>= +5,1.0,False,True,nan,-27.569217681884766,nan,-24.75754737854004,nan,2.8116703033447266,0.3231557607650757,-22.232744216918945,-20.918855667114258
sir0_val-42-000019,both,-8.71,< -5,1.0,True,False,12.8011474609375,nan,8.61754322052002,nan,4.1836042404174805,nan,0.11334581673145294,-3.255305051803589,-4.8320088386535645
sir0_val-42-000020,target_only,nan,>= +5,nan,True,False,11.076488494873047,nan,-12.399759292602539,nan,23.476247787475586,nan,0.9865921139717102,-2.973886489868164,-33.754146575927734
sir0_val-42-000021,both,9.78,>= +5,1.0,True,True,12.071255683898926,-49.68450927734375,1.0731191635131836,-45.229637145996094,10.998136520385742,4.454872131347656,0.5594149231910706,-3.5648107528686523,-11.002373695373535
sir0_val-42-000022,target_only,nan,>= +5,nan,True,False,19.099342346191406,nan,18.5625,nan,0.5368423461914062,nan,0.0020064827986061573,-2.616117477416992,-2.573855400085449
sir0_val-42-000023,both,-1.54,-5..0,1.0,True,False,23.576637268066406,nan,11.01144790649414,nan,12.565189361572266,nan,0.08854341506958008,-2.602783679962158,-3.999760627746582
sir0_val-42-000024,both,3.18,0..+5,0.0,True,True,2.1806793212890625,-4.363560199737549,0.5978379249572754,-1.9828158617019653,1.582841396331787,2.380744457244873,0.3569634258747101,-6.79078483581543,-4.8028059005737305
sir0_val-42-000025,interferer_only,nan,>= +5,1.0,False,True,nan,1.7514090538024902,nan,4.470209121704102,nan,2.7188000679016113,0.08585293591022491,-4.848784446716309,-4.336855411529541
sir0_val-42-000026,target_only,nan,>= +5,nan,True,False,8.41767692565918,nan,-1.6154121160507202,nan,10.033088684082031,nan,0.8525881171226501,-4.033626556396484,-11.97368049621582
sir0_val-42-000027,both,-6.2,< -5,0.0,True,True,-68.21432495117188,6.306090831756592,-66.44636535644531,3.474910259246826,-1.7679595947265625,-2.8311805725097656,0.22078484296798706,-4.281713962554932,-6.66461181640625
sir0_val-42-000028,both,9.92,>= +5,1.0,True,True,9.375658988952637,-16.430278778076172,7.280112266540527,-11.023746490478516,2.0955467224121094,5.406532287597656,0.048737701028585434,-4.047811508178711,-4.06638240814209
sir0_val-42-000029,both,-3.99,-5..0,1.0,True,True,-2.4029431343078613,1.8099355697631836,-10.447746276855469,7.078179359436035,8.044803619384766,5.268243789672852,0.18633440136909485,-3.014789581298828,-4.669076919555664
sir0_val-42-000030,target_only,nan,>= +5,nan,True,False,12.36524772644043,nan,11.148711204528809,nan,1.216536521911621,nan,0.028736891224980354,-3.4228506088256836,-3.8648862838745117
sir0_val-42-000031,both,-9.87,< -5,1.0,True,True,-1.1755419969558716,0.38988444209098816,-1.10471773147583,0.19156597554683685,-0.0708242654800415,-0.1983184665441513,0.010751094669103622,-2.7582125663757324,-2.8825843334198
sir0_val-42-000032,both,-7.58,< -5,1.0,True,False,9.312714576721191,nan,8.868288040161133,nan,0.4444265365600586,nan,0.03258202597498894,-3.5313782691955566,-4.036178112030029
sir0_val-42-000033,target_only,nan,>= +5,nan,False,False,nan,nan,nan,nan,nan,nan,0.2404613047838211,-24.87366485595703,-24.453859329223633
sir0_val-42-000034,noise_only,nan,>= +5,nan,False,False,nan,nan,nan,nan,nan,nan,13.792299270629883,-21.421897888183594,-10.123795509338379
sir0_val-42-000035,both,6.15,>= +5,1.0,True,True,4.96682071685791,-5.180625915527344,5.184624195098877,-5.450634479522705,-0.2178034782409668,-0.27000856399536133,0.0031167957931756973,-2.60624361038208,-2.6703855991363525
sir0_val-42-000036,noise_only,nan,>= +5,nan,False,False,nan,nan,nan,nan,nan,nan,0.9998519420623779,-4.985996246337891,-30.009672164916992
sir0_val-42-000037,both,5.28,>= +5,1.0,True,True,10.879707336425781,-13.162117004394531,8.890090942382812,-10.945751190185547,1.9896163940429688,2.2163658142089844,0.032066743820905685,-3.8675408363342285,-4.537145614624023
sir0_val-42-000038,noise_only,nan,>= +5,nan,False,False,nan,nan,nan,nan,nan,nan,0.36874327063560486,-25.229948043823242,-24.398460388183594
sir0_val-42-000039,target_only,nan,>= +5,nan,True,False,12.953070640563965,nan,2.4577200412750244,nan,10.49535083770752,nan,0.5037529468536377,-2.8291807174682617,-10.480684280395508
sir0_val-42-000040,noise_only,nan,>= +5,nan,False,False,nan,nan,nan,nan,nan,nan,0.04872320592403412,-27.256736755371094,-27.61686134338379
sir0_val-42-000041,both,-1.53,-5..0,0.0,True,True,-30.488441467285156,-2.5149946212768555,-38.143558502197266,12.644095420837402,7.655117034912109,15.159090042114258,78.81072235107422,-22.972620010375977,-3.47255802154541
sir0_val-42-000042,target_only,nan,>= +5,nan,True,False,19.927846908569336,nan,2.482733726501465,nan,17.445114135742188,nan,0.687378466129303,-2.871241331100464,-15.714059829711914
sir0_val-42-000043,target_only,nan,>= +5,nan,True,False,12.578479766845703,nan,-11.11378288269043,nan,23.692262649536133,nan,0.9779748916625977,-2.978071689605713,-30.823022842407227
sir0_val-42-000044,target_only,nan,>= +5,nan,True,False,4.9724955558776855,nan,-18.280025482177734,nan,23.252521514892578,nan,0.9765424132347107,-5.61613130569458,-31.329086303710938
sir0_val-42-000045,both,9.99,>= +5,1.0,True,True,9.389427185058594,-11.586342811584473,8.041280746459961,-11.641589164733887,1.3481464385986328,-0.05524635314941406,0.05398154258728027,-2.731393575668335,-3.9044313430786133
sir0_val-42-000046,both,0.84,0..+5,1.0,True,True,-2.834158182144165,2.2052862644195557,-3.3353474140167236,2.7737131118774414,0.5011892318725586,0.5684268474578857,0.009791170246899128,-3.124581813812256,-2.8163325786590576
sir0_val-42-000047,interferer_only,nan,>= +5,1.0,False,True,nan,2.0414183139801025,nan,7.255406856536865,nan,5.213988304138184,1.5068148374557495,-11.76481819152832,-5.742656707763672
sir0_val-42-000048,both,2.56,0..+5,1.0,True,True,-30.855270385742188,8.930473327636719,-27.196430206298828,4.561450958251953,-3.6588401794433594,-4.369022369384766,0.17359788715839386,-8.705305099487305,-11.45119857788086
sir0_val-42-000049,interferer_only,nan,>= +5,0.0,False,True,nan,0.5436487793922424,nan,11.183844566345215,nan,10.640195846557617,7.417120933532715,-15.61373233795166,-4.966184616088867
sir0_val-42-000050,both,0.88,0..+5,0.0,True,True,0.4841296374797821,-7.665644645690918,-8.41887092590332,4.2836151123046875,8.903000831604004,11.949259757995605,1.3786567449569702,-6.429595947265625,-4.955061912536621
sir0_val-42-000051,both,1.17,0..+5,1.0,True,True,-3.7566442489624023,2.988571882247925,-3.626142978668213,3.0918006896972656,-0.13050127029418945,0.10322880744934082,0.014259111136198044,-3.3031842708587646,-2.751709461212158
sir0_val-42-000052,target_only,nan,>= +5,nan,True,False,12.487510681152344,nan,-7.071902275085449,nan,19.55941390991211,nan,0.8949925899505615,-3.296722173690796,-18.55524444580078
sir0_val-42-000053,both,4.72,0..+5,1.0,True,True,14.001062393188477,-68.06938171386719,13.390304565429688,-77.5774154663086,0.6107578277587891,-9.508033752441406,0.006229028105735779,-2.9200985431671143,-3.3517203330993652
sir0_val-42-000054,both,-1.28,-5..0,0.0,True,True,1.188498616218567,-1.2672920227050781,0.2506146728992462,-0.7848513126373291,0.9378839731216431,0.482440710067749,0.039935722947120667,-2.8656504154205322,-2.9389543533325195
sir0_val-42-000055,both,5.72,>= +5,1.0,True,True,6.073761940002441,-7.1279168128967285,5.65770149230957,-6.709835052490234,0.4160604476928711,0.41808176040649414,0.0063424077816307545,-2.7701499462127686,-2.8676514625549316
sir0_val-42-000056,noise_only,nan,>= +5,nan,False,False,nan,nan,nan,nan,nan,nan,0.10304199159145355,-19.261796951293945,-19.12318992614746
sir0_val-42-000057,both,-8.5,< -5,1.0,True,True,-15.875077247619629,11.941777229309082,-16.189298629760742,14.31709098815918,0.3142213821411133,2.3753137588500977,0.024031057953834534,-3.0485379695892334,-2.5283331871032715
sir0_val-42-000058,both,6.92,>= +5,0.0,True,True,5.153700828552246,-6.437582969665527,-3.164607048034668,-2.4919567108154297,8.318307876586914,3.9456262588500977,0.4106132388114929,-3.639908790588379,-6.0748820304870605
sir0_val-42-000059,target_only,nan,>= +5,nan,True,False,14.797128677368164,nan,14.441804885864258,nan,0.35532379150390625,nan,0.0033389548771083355,-2.781754732131958,-2.772601842880249
sir0_val-42-000060,interferer_only,nan,>= +5,1.0,False,False,nan,nan,nan,nan,nan,nan,1.14991295337677,-27.53554344177246,-23.165119171142578
sir0_val-42-000061,both,1.33,0..+5,1.0,True,True,3.704936981201172,-4.450356960296631,-18.63996696472168,4.221455097198486,22.34490394592285,8.671812057495117,0.8571466207504272,-3.166672706604004,-19.854400634765625
sir0_val-42-000062,both,7.37,>= +5,1.0,True,True,6.999931812286377,-7.876249313354492,-0.9041207432746887,-5.479876518249512,7.904052734375,2.3963727951049805,0.45331791043281555,-2.783019781112671,-7.50870418548584
sir0_val-42-000063,both,8.47,>= +5,1.0,True,True,4.832494735717773,-10.897705078125,-0.4126310348510742,-2.5960323810577393,5.245125770568848,8.30167293548584,0.3642157316207886,-5.471649646759033,-5.20670223236084
sir0_val-42-000064,target_only,nan,>= +5,nan,True,False,10.717046737670898,nan,10.778482437133789,nan,-0.061435699462890625,nan,0.012263394892215729,-3.293548107147217,-3.643714427947998
sir0_val-42-000065,both,9.4,>= +5,0.0,True,True,3.3874239921569824,-12.364760398864746,1.7490668296813965,-11.863884925842285,1.638357162475586,0.5008754730224609,0.25195416808128357,-3.376941680908203,-7.161365509033203
sir0_val-42-000066,target_only,nan,>= +5,nan,True,False,13.040191650390625,nan,13.413139343261719,nan,-0.37294769287109375,nan,0.04880209639668465,-4.50484561920166,-4.1045026779174805
sir0_val-42-000067,both,-4.75,-5..0,0.0,True,True,-0.1328146904706955,-0.7502874135971069,-13.304987907409668,0.8548758029937744,13.172173500061035,1.6051632165908813,0.6676673293113708,-3.560304880142212,-8.563688278198242
sir0_val-42-000068,both,3.22,0..+5,0.0,True,True,-1.9911458492279053,0.5576208829879761,-4.832799911499023,0.9770429730415344,2.841654062271118,0.41942209005355835,0.21679258346557617,-3.4287402629852295,-4.64483118057251
sir0_val-42-000069,target_only,nan,>= +5,nan,True,False,11.61378288269043,nan,-3.5843732357025146,nan,15.198156356811523,nan,0.9194068312644958,-3.515380620956421,-25.820728302001953
sir0_val-42-000070,both,-4.49,-5..0,1.0,True,True,-6.39925479888916,5.582718849182129,-7.129654884338379,6.716734886169434,0.7304000854492188,1.1340160369873047,0.02352185919880867,-2.9993927478790283,-2.6684656143188477
